"","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"136","CORRIENTES, AR",1980-05-17,70.1,19.9,21,19
"137","CORRIENTES, AR",1980-05-18,16,20.8,NA,NA
"138","CORRIENTES, AR",1980-05-19,2,20.6,24,14
"139","CORRIENTES, AR",1980-05-20,0,21.6,24,NA
"140","CORRIENTES, AR",1980-05-21,13,19.8,24,16
"141","CORRIENTES, AR",1980-05-22,0,18.2,22,14
"142","CORRIENTES, AR",1980-05-23,0,19.2,NA,13
"143","CORRIENTES, AR",1980-05-24,0,20.5,NA,13
"144","CORRIENTES, AR",1980-05-25,0,20.1,26,13
"145","CORRIENTES, AR",1980-05-26,0,22.1,NA,11
"146","CORRIENTES, AR",1980-05-27,0,23.1,NA,17
"147","CORRIENTES, AR",1980-05-28,0,24.4,NA,19
"148","CORRIENTES, AR",1980-05-29,0,24.8,30,19
"149","CORRIENTES, AR",1980-05-30,NA,23.8,NA,18
"150","CORRIENTES, AR",1980-05-31,NA,23.7,28,NA
"151","CORRIENTES, AR",1980-06-01,NA,15.6,29,NA
"152","CORRIENTES, AR",1980-06-02,0,13,NA,7
"153","CORRIENTES, AR",1980-06-03,NA,10.8,19,NA
"154","CORRIENTES, AR",1980-06-04,0,8.8,NA,2
"155","CORRIENTES, AR",1980-06-05,0,13.7,NA,4
"156","CORRIENTES, AR",1980-06-06,0,20.1,NA,11
"157","CORRIENTES, AR",1980-06-07,0,23.6,NA,17
"158","CORRIENTES, AR",1980-06-08,0,23.6,28,18
"159","CORRIENTES, AR",1980-06-09,0,23.4,NA,18
"160","CORRIENTES, AR",1980-06-10,0,23.5,29,19
"161","CORRIENTES, AR",1980-06-11,NA,18.9,28,16
"162","CORRIENTES, AR",1980-06-12,NA,12.7,NA,NA
"163","CORRIENTES, AR",1980-06-13,NA,11.7,NA,8
"164","CORRIENTES, AR",1980-06-14,0,11.8,NA,5
"165","CORRIENTES, AR",1980-06-15,0,13.3,NA,5
"166","CORRIENTES, AR",1980-06-16,0,15.2,NA,NA
"167","CORRIENTES, AR",1980-06-17,0,20.1,NA,14
"168","CORRIENTES, AR",1980-06-18,4.1,19.2,25,16
"169","CORRIENTES, AR",1980-06-19,4.1,15.7,22,NA
"170","CORRIENTES, AR",1980-06-21,NA,15.2,NA,NA
"171","CORRIENTES, AR",1980-06-22,0,16.4,NA,12
"172","CORRIENTES, AR",1980-06-23,0,17.8,NA,12
"173","CORRIENTES, AR",1980-06-24,0,16.9,22,NA
"174","CORRIENTES, AR",1980-06-25,4.1,12.5,NA,NA
"175","CORRIENTES, AR",1980-06-26,0,9.7,16,5
"176","CORRIENTES, AR",1980-06-27,0,9.9,NA,2
"177","CORRIENTES, AR",1980-06-28,0,15.3,NA,7
"178","CORRIENTES, AR",1980-06-29,0,20.8,NA,14
"179","CORRIENTES, AR",1980-06-30,3,12.1,25,NA
"180","CORRIENTES, AR",1980-07-01,0.5,9.5,NA,NA
"181","CORRIENTES, AR",1980-07-02,0,7.1,NA,0
"182","CORRIENTES, AR",1980-07-03,0,7.3,NA,-1
"183","CORRIENTES, AR",1980-07-04,0,9,NA,1
"184","CORRIENTES, AR",1980-07-05,0,16.1,NA,NA
"185","CORRIENTES, AR",1980-07-06,0,19.2,NA,NA
"186","CORRIENTES, AR",1980-07-07,0,21.4,NA,18
"187","CORRIENTES, AR",1980-07-08,2,14.1,27,11
"188","CORRIENTES, AR",1980-07-09,0,10.3,16,NA
"189","CORRIENTES, AR",1980-07-10,NA,11.7,19,NA
"190","CORRIENTES, AR",1980-07-11,0,12.5,NA,3
"191","CORRIENTES, AR",1980-07-12,NA,14.9,NA,NA
"192","CORRIENTES, AR",1980-07-13,0,19.7,NA,13
"193","CORRIENTES, AR",1980-07-14,0,14.4,25,NA
"194","CORRIENTES, AR",1980-07-15,0,7.9,16,-1
"195","CORRIENTES, AR",1980-07-16,0,12.6,NA,3
"196","CORRIENTES, AR",1980-07-17,0,15.7,NA,9
"197","CORRIENTES, AR",1980-07-18,NA,25,NA,NA
"198","CORRIENTES, AR",1980-07-19,0,23.4,NA,17
"199","CORRIENTES, AR",1980-07-20,0,17.2,29,NA
"200","CORRIENTES, AR",1980-07-21,3,13.9,30,4
"201","CORRIENTES, AR",1980-07-22,0,14.7,NA,5
"202","CORRIENTES, AR",1980-07-23,0,16.7,NA,6
"203","CORRIENTES, AR",1980-07-24,0,21,NA,12
"204","CORRIENTES, AR",1980-07-25,0,23.8,NA,18
"205","CORRIENTES, AR",1980-07-26,0.5,17.3,NA,NA
