lon,lat,mean_sst,mean_ssh
264.125,26.125,22.799999999999997,0.23676342364532035
264.125,26.375,22.67503078817734,0.23352352216748776
264.125,26.625,22.574261083743828,0.22970880541871913
264.125,26.875,22.497044334975374,0.22690443349753692
264.125,27.125,22.401354679802974,0.2232573891625616
264.125,27.375,22.221520935960598,0.2163244458128078
264.125,27.625,21.88688423645322,0.20759722906403938
264.375,21.125,24.323460591133006,0.2659433497536945
264.375,21.375,24.330480295566506,0.28460726600985214
264.375,21.625,24.32807881773399,0.29937733990147763
264.375,21.875,24.31431650246305,0.3089290640394083
264.375,22.125,24.29455049261084,0.3137452586206894
264.375,22.375,24.268411330049275,0.31646336206896564
264.375,22.625,24.23248152709359,0.3188894088669951
264.375,22.875,24.18482142857144,0.32161133004926107
264.375,23.125,24.121736453201947,0.3263168719211822
